逢沢一郎,衆議院議員,自由民主党,岡山1区,,1954/6/10,衆議院議員総会 副会長,empty
青山周平,衆議院議員,自由民主党,愛知12区,,1977/4/28,,empty
赤澤亮正,衆議院議員,自由民主党,鳥取2区,,1960/12/18,,empty
あかま二郎,衆議院議員,自由民主党,神奈川14区,,1968/3/27,,empty
秋葉賢也,衆議院議員,自由民主党,宮城2区,,1962/7/3,情報調査局長,empty
秋本真利,衆議院議員,自由民主党,千葉9区,,1975/8/10,副幹事長,empty
東国幹,衆議院議員,自由民主党,北海道6区,,1968/2/17,,empty
畦元将吾,衆議院議員,自由民主党,,中国ブロック,1958/4/30,,empty
麻生太郎,衆議院議員,自由民主党,福岡8区,,1940/9/20,副総裁,empty
安倍晋三,衆議院議員,自由民主党,山口4区,,1954/9/21,,empty
あべ俊子,衆議院議員,自由民主党,岡山3区,,1959/5/19,,empty
甘利明,衆議院議員,自由民主党,神奈川13区,,1949/8/27,,empty
五十嵐清,衆議院議員,自由民主党,栃木2区,,1969/12/14,,empty
池田佳隆,衆議院議員,自由民主党,愛知3区,,1966/6/20,文部科学副大臣、内閣府 副大臣,empty
石井拓,衆議院議員,自由民主党,愛知13区,,1965/4/11,,empty
石川昭政,衆議院議員,自由民主党,茨城5区,,1972/9/18,経済産業部会長,empty
石田真敏,衆議院議員,自由民主党,和歌山2区,,1952/4/11,,empty
石破茂,衆議院議員,自由民主党,鳥取1区,,1957/2/4,,empty
石橋林太郎,衆議院議員,自由民主党,,中国ブロック,1978/5/2,,empty
石原宏高,衆議院議員,自由民主党,東京3区,,1964/6/19,,empty
石原正敬,衆議院議員,自由民主党,三重3区,,1971/11/29,,empty
泉田裕彦,衆議院議員,自由民主党,新潟5区,,1962/9/15,国土交通大臣政務官、復興大臣政務官、内閣府大臣政務官,empty
井出庸生,衆議院議員,自由民主党,長野3区,,1977/11/21,厚生労働部会長代理,empty
伊藤信太郎,衆議院議員,自由民主党,宮城4区,,1953/5/6,政務調査会長代理,empty
伊藤忠彦,衆議院議員,自由民主党,愛知8区,,1964/7/11,,empty
伊藤達也,衆議院議員,自由民主党,東京22区,,1961/7/6,,empty
伊東良孝,衆議院議員,自由民主党,北海道7区,,1948/11/24,,empty
稲田朋美,衆議院議員,自由民主党,福井1区,,1959/2/20,,empty
井野俊郎,衆議院議員,自由民主党,群馬2区,,1980/1/8,,empty
井上信治,衆議院議員,自由民主党,東京25区,,1969/10/7,国際局長代理、広告本部長代理,empty
井上貴博,衆議院議員,自由民主党,福岡1区,,1962/4/2,副幹事長,empty
井林辰憲,衆議院議員,自由民主党,静岡2区,,1976/7/18,新聞出版局長代理、財務金融部会長,empty
井原巧,衆議院議員,自由民主党,愛媛3区,,1963/11/13,,empty
今枝宗一郎,衆議院議員,自由民主党,愛知14区,,1984/2/18,内閣第二部会長代理,empty
今村雅弘,衆議院議員,自由民主党,,九州ブロック,1947/1/5,,empty
岩田和親,衆議院議員,自由民主党,佐賀1区,,1973/9/20,経済産業大臣政務官、復興大臣財務官、内閣府大臣政務官,empty
岩屋毅,衆議院議員,自由民主党,大分3区,,1957/8/24,,empty
上杉謙太郎,衆議院議員,自由民主党,福島3区,,1975/4/20,外務大臣政務官,empty
上田英俊,衆議院議員,自由民主党,富山2区,,1965/1/22,,empty
うえの賢一郎,衆議院議員,自由民主党,滋賀2区,,1965/8/3,,empty
江崎鉄磨,衆議院議員,自由民主党,愛知10区,,1943/9/17,総務会長代理,empty
江渡聡徳,衆議院議員,自由民主党,青森1区,,1955/10/12,北朝鮮核実験・ミサイル問題対策本部長,empty
衛藤征士郎,衆議院議員,自由民主党,大分2区,,1941/4/29,,empty
江藤拓,衆議院議員,自由民主党,宮城2区,,1960/7/1,財務調査会長代理,empty
遠藤利明,衆議院議員,自由民主党,山形1区,,1950/1/17,選挙対策委員長,empty
大岡敏孝,衆議院議員,自由民主党,滋賀1区,,1972/4/16,環境副大臣,empty
大串正樹,衆議院議員,自由民主党,兵庫6区,,1966/1/20,厚生労働部会長代理,empty
大塚拓,衆議院議員,自由民主党,埼玉9区,,1973/6/14,,empty
大西英男,衆議院議員,自由民主党,東京16区,,1946/8/28,副幹事長,empty
大野敬太郎,衆議院議員,自由民主党,香川3区,,1968/11/1,内閣府 副大臣,empty
奥野信亮,衆議院議員,自由民主党,,近畿ブロック,1944/3/5,,empty
小倉將信,衆議院議員,自由民主党,東京23区,,1981/5/30,青年局長,empty
尾崎正直,衆議院議員,自由民主党,高知県2区,,1967/9/14,,empty
小里泰弘,衆議院議員,自由民主党,鹿児島3区,,1958/9/29,,empty
小田原潔,衆議院議員,自由民主党,東京21区,,1964/5/23,外務副大臣,empty
越智隆雄,衆議院議員,自由民主党,東京6区,,1964/2/27,,empty
鬼木誠,衆議院議員,自由民主党,福岡2区,,1972/10/16,防衛副大臣、内閣府 副大臣,empty
小野寺五典,衆議院議員,自由民主党,宮城6区,,1960/5/5,,empty
